,Intermediate momentum (net),EW benchmark (no costs)
CAGR,0.20300728100556742,0.15375097098375035
Annualized volatility,0.23772698521647898,0.21416023543566542
Sharpe (rf = 0),0.8539513544106274,0.7179249250962733
Maximum drawdown,-0.21512595139865776,-0.317031976783823
Annual one-way turnover,4.4174999999999995,
Cost drag per year,0.008834999999999999,
"Growth of $10,000",34286.38564178127,25946.60439329086
